Размер квадрата: 400
Средняя длина трубки: 10
Радиус: 1
Количество испытаний: 1
Межчастичный слой: 3.003
      x|      y|      k|
********************************************************************
Испытание1
Плотность: 0
********************************************************************
Реальная плотность: 0
********************************************************************
Испытание1
Плотность: 0.01
********************************************************************
240.776|308.115| 9.6346|    281|
360.041|103.225|9.07989|    262|
119.987|325.926|9.67882|    167|
53.2307|21.6797|9.21992|    352|
 11.701|332.197|10.0391|    123|
101.937|122.346|10.5996|     79|
367.027|230.072|10.2138|    318|
252.386| 70.061|9.61379|     70|
110.405|232.942|9.63729|      7|
374.058|180.189|9.65041|    354|
25.9924|133.858| 9.7982|     97|
 50.038|324.983|9.82503|    137|
 11.458| 165.38|9.75979|     55|
207.916|212.028|9.29136|    301|
132.003| 131.24|10.4111|     94|
104.863|295.069|10.1479|    173|
16.6431|36.4875|9.61766|    254|
268.631|142.743|9.31043|     36|
276.357|54.7549|9.01075|     58|
127.527| 290.96|9.58964|    339|
113.748|375.515| 10.667|    125|
8.70929|364.872|9.90217|     38|
363.474|96.7458|10.4482|    333|
166.381|186.731|10.6967|     41|
86.1612| 248.24|10.2539|     65|
365.824|282.072|9.00895|     44|
60.7957|82.7985|10.3374|    305|
219.062|111.664|9.17384|    133|
56.8487| 145.65|9.45881|    147|
70.7075|360.013|9.73504|    179|
267.077|248.602|10.6039|    354|
127.039|104.522|9.90477|    190|
262.212|  278.6|10.1821|    146|
291.718|56.1144|9.60214|     93|
33.5042|103.756|10.0732|     68|
248.949|376.544|9.91247|    248|
225.776|2.16973| 10.708|    332|
 336.32|241.442|   9.58|    275|
0.406834|14.9872|10.0808|    237|
360.003|230.899|9.66771|    101|
166.717|321.668|9.94692|    197|
273.423|128.034|9.57596|     13|
 277.33| 31.573|10.1648|    305|
125.238|1.06262|10.0381|    309|
341.853|376.788|9.83034|    333|
360.368| 149.71|10.7092|     27|
203.581|276.531|10.1852|    200|
356.974|27.5449|9.25753|    151|
266.113|256.989|10.3487|     10|
 36.539|147.407|9.49072|    111|
216.086|348.082|10.4871|    274|
111.906|78.9425|9.97433|    192|
62.7732|69.8355|10.8794|     38|
79.2381|208.433|9.10675|     39|
  312.6|126.345|10.0273|    251|
70.0446|40.9521|10.2718|     40|
 104.11|103.979|10.5993|    320|
19.4941|271.213|10.8909|    287|
357.974|74.2014|10.3115|    154|
18.9532|333.674|9.47484|     56|
71.2221|378.465|9.87311|    172|
399.109|390.438|10.1592|    280|
153.091|166.863| 9.6493|     79|
24.2201|398.437|10.0883|    344|
180.345|225.625|9.55935|    133|
303.506|380.645|10.4781|    199|
148.574| 131.99|9.88228|    127|
298.974|226.511|10.5478|    121|
175.569|247.478|9.09621|    322|
277.417| 367.12|10.0455|    278|
219.444|138.538|9.95307|    259|
125.341|24.7969|9.73168|    265|
236.181|195.352|10.2868|    208|
39.3722|383.173|9.96503|    244|
162.395|152.169|9.81727|    247|
348.815|245.523|10.0659|    181|
291.804|274.829|10.1279|    232|
320.511|106.154|9.57731|    262|
253.985|310.264|9.81674|    187|
107.179|214.498|9.64141|     46|
Реальная плотность: 0.00992574
********************************************************************
Испытание1
Плотность: 0.02
********************************************************************
44.9526|11.0002|9.43474|    231|
63.3254|237.318|9.93615|     19|
119.489|172.402|10.1369|    257|
280.179|69.4743|10.1337|    282|
185.298|247.178|  9.813|     13|
380.107|143.378|10.8048|    107|
2.54933|258.899|10.6548|    164|
187.673| 122.01|9.81558|    244|
166.236|41.3284|9.65896|    261|
352.529|32.7445|9.28693|    209|
311.737|395.181|10.0167|    285|
392.339|299.262|9.44886|    275|
380.901|89.1077|9.39242|    242|
125.013|126.476|10.1265|    288|
269.235|156.354|9.87001|    138|
152.544|246.522|9.97159|    228|
