101,936
95,7992
95,3119
92,1802
98,2672
93,6248
92,321
103,729
91,7832
103,593
98,4089
98,7201
93,944
91,8834
100,828
90,2741
93,1642
104,8
103,452
94,846
98,5414
90,4352
104,811
106,899
106,64
94,9152
96,6594
106,856
107,114
95,4746
93,2736
103,953
99,5682
108,359
107,501
105,297
105,092
96,8175
97,1208
101,332
92,0149
104,452
90,2421
96,883
97,4528
95,5632
109,585
101,721
109,445
95,8836
96,5916
106,042
91,9427
102,433
103,974
98,8119
101,662
102,668
100,842
108,964
90,701
98,5465
102,931
108,063
105,04
91,3678
93,4252
106,539
109,567
96,8288
94,2133
100,406
98,2552
103,479
96,7456
99,0128
93,9365
90,785
105,865
109,115
90,8253
96,2468
103,482
107,384
97,3983
99,1835
93,557
102,764
97,2185
103,99
102,459
98,4985
92,1231
100,24
94,7718
103,195
100,91
104,902
99,9276
97,9891
97,6948
103,434
95,0527
97,0112
90,2389
98,5136
103,296
98,1376
100,962
92,0518
106,901
90,5767
103,667
105,895
105,915
97,5698
107,57
90,8671
96,7831
109,052
94,2069
96,4709
101,372
98,4516
100,357
90,0996
